Ilce,M2,Banyo,Bina_Yasi,Balkon,Asansor,Garaj,Takas,Eşya Durumu,Fiyat,oda_sayisi,salon_sayisi,Kat,Isinma,yapi_durumu,Kullanim_Boş,Kullanim_Kiracılı,Kullanim_Mülk Sahibi,tapu_durumu
Sehzadeler,105,2,2,1,0,1,1,0,4150000.0,2,1,0.5,3,0,1,0,0,1
Yunusemre,65,1,0,0,0,1,0,0,2450000.0,1,1,4.0,3,0,1,0,0,1
Yunusemre,140,1,30,1,1,1,0,0,3950000.0,3,1,0.0,3,0,0,1,0,2
Soma,95,1,5,0,0,1,0,0,2650000.0,2,1,3.0,2,0,0,0,1,1
Sehzadeler,498,1,49,0,0,1,0,0,3950000.0,4,1,3.0,1,0,1,0,0,0
Akhisar,90,1,31,0,1,0,1,0,2550000.0,2,1,1.0,3,0,0,0,1,1
Yunusemre,120,1,21,0,1,1,0,0,4250000.0,3,1,6.0,3,0,0,0,1,2
Yunusemre,60,1,1,0,0,1,0,0,3150000.0,1,1,2.0,3,0,1,0,0,2
Sehzadeler,100,1,26,1,0,0,0,0,2650000.0,2,1,4.0,3,0,1,0,0,2
Turgutlu,209,1,11,0,0,0,0,0,6750000.0,3,1,0.0,1,0,0,0,1,2
Sehzadeler,115,1,35,1,1,1,0,0,3200000.0,3,1,3.0,3,0,1,0,0,2
Salihli,52,1,6,1,1,0,0,0,2100000.0,1,1,5.0,1,0,0,1,0,2
Akhisar,110,1,0,1,1,1,0,0,3150000.0,2,1,5.0,3,2,1,0,0,1
Yunusemre,120,1,15,1,1,0,0,1,6250000.0,2,1,-3.0,3,0,1,0,0,1
Turgutlu,130,2,1,0,1,1,1,0,2550000.0,2,1,0.5,1,0,1,0,0,2
Gordes,110,1,30,0,0,0,0,0,4000000.0,3,0,0.0,1,0,1,0,0,2
Turgutlu,342,1,27,0,0,1,0,0,16000000.0,4,1,3.0,3,0,1,0,0,1
Salihli,150,1,25,1,1,1,0,0,3480000.0,3,1,8.0,1,0,1,0,0,2
Turgutlu,110,1,20,0,0,0,0,0,2600000.0,2,1,5.0,3,0,0,1,0,1
Sehzadeler,90,1,35,0,1,0,0,0,3500000.0,2,1,2.0,3,0,0,1,0,1
Sehzadeler,70,1,30,0,0,0,1,1,2650000.0,2,1,0.0,3,0,0,1,0,1
Sehzadeler,150,1,31,0,0,0,0,0,2200000.0,3,1,5.0,1,0,0,1,0,1
Yunusemre,115,1,3,0,1,1,0,0,3450000.0,2,1,3.0,3,0,0,0,1,1
Yunusemre,170,2,11,0,1,1,1,0,5750000.0,3,1,4.0,3,0,1,0,0,1
Salihli,110,1,50,0,0,0,0,0,2350000.0,3,1,3.0,1,0,1,0,0,1
Yunusemre,85,1,5,0,0,1,0,0,3350000.0,2,1,0.5,3,0,1,0,0,2
Salihli,120,1,21,0,0,1,0,1,2725000.0,3,1,3.0,1,0,0,1,0,2
Yunusemre,100,1,4,0,1,1,0,0,5750000.0,2,1,5.0,3,0,0,1,0,1
Yunusemre,130,1,15,1,1,0,1,0,4700000.0,3,1,3.0,3,0,0,0,1,2
Akhisar,108,1,1,0,0,0,1,0,2780000.0,2,1,2.0,3,0,1,0,0,2
Turgutlu,110,1,30,0,0,0,0,0,1750000.0,2,1,3.0,1,0,1,0,0,2
Turgutlu,102,1,4,0,0,0,1,1,2850000.0,2,1,3.0,3,0,1,0,0,1
Soma,110,1,4,0,0,1,1,0,2900000.0,3,1,1.0,2,0,1,0,0,1
Turgutlu,135,1,15,1,1,1,0,0,2500000.0,3,1,0.0,3,0,0,1,0,2
Salihli,87,1,5,1,1,1,0,0,3400000.0,2,1,5.0,3,0,0,0,1,1
Yunusemre,120,3,0,1,0,1,0,0,5700000.0,3,1,3.0,1,2,1,0,0,2
Yunusemre,150,2,4,0,1,0,0,0,10400000.0,3,1,0.5,1,0,0,0,1,2
Turgutlu,105,1,11,0,1,1,0,0,2900000.0,2,1,0.0,3,0,1,0,0,2
