Ilce,M2,Banyo,Kat,Bina_Yasi,Isinma,Balkon,Asansor,Garaj,Yapı Durumu,Kullanım Durumu,Tapu Durumu,Takas,Eşya Durumu,Fiyat,oda_sayisi,salon_sayisi
Yunusemre,160,2,Çatı Katı,16 Yaşında,Kombi,Var,Var,Var,-,Kiracılı,Kat İrtifakı,Evet,Eşyalı Değil,7100000.0,4,1
Salihli,125,1,Yüksek Giriş,18 Yaşında,Kombi,Yok,Yok,Yok,-,Boş,Kat Mülkiyeti,-,Eşyalı Değil,3400000.0,3,1
Saruhanli,50,1,Yüksek Giriş,1 Yaşında,Isıtma Yok,Yok,Yok,Yok,-,-,Müstakil Tapulu,-,-,2700000.0,1,1
Akhisar,34,1,-,10 Yaşında,Soba,Yok,Yok,Yok,İkinci El,Boş,Arsa,-,Eşyalı Değil,750000.0,1,1
Yunusemre,125,1,5. Kat,26 Yaşında,Kombi,Yok,Yok,Yok,-,Mülk Sahibi,Kat İrtifakı,Evet,-,2950000.0,3,1
Sehzadeler,135,1,4. Kat,26 Yaşında,Kombi,Var,Var,Yok,İkinci El,Boş,Kat Mülkiyeti,-,Eşyalı Değil,4650000.0,3,1
Turgutlu,90,1,1. Kat,6 Yaşında,Kombi,Yok,Var,Var,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,2475000.0,2,1
Yunusemre,130,1,2. Kat,8 Yaşında,Kombi,Yok,Var,Var,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3950000.0,3,1
Salihli,345,1,-,15 Yaşında,Soba,Yok,Yok,Yok,İkinci El,Mülk Sahibi,Kat Mülkiyeti,-,Eşyalı Değil,2000000.0,2,1
Yunusemre,70,1,3. Kat,Sıfır Bina,Kombi,Yok,Yok,Yok,-,Boş,Kat İrtifakı,Hayır,Eşyalı,2340000.0,1,1
Sehzadeler,130,1,-,Sıfır Bina,Klima,Yok,Yok,Yok,Sıfır,Mülk Sahibi,Müstakil Tapulu,Evet,Eşyalı Değil,3290000.0,2,1
Yunusemre,430,1,-,25 Yaşında,Klima,Yok,Yok,Yok,İkinci El,Boş,Müstakil Tapulu,Hayır,Eşyalı Değil,3500000.0,3,1
Sehzadeler,85,1,Yüksek Giriş,25 Yaşında,Klima,Yok,Yok,Yok,İkinci El,Kiracılı,Kat İrtifakı,Evet,Eşyalı,2950000.0,2,1
