Fiyat,Ilce,M2,Banyo,Kat,Bina_Yasi,Isinma,Balkon,Asansor,Garaj,Yapı Durumu,Kullanım Durumu,Tapu Durumu,Takas,Eşya Durumu,Fiyat_numeric,oda_sayisi,salon_sayisi
6.500.000 TL,Turgutlu,135,2,2. Kat,Sıfır Bina,Yerden Isıtma,Var,Var,Var,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,6500000.0,3,1
7.000.000 TL,Akhisar,300,3,3. Kat,Sıfır Bina,Kombi,Var,Var,Var,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,7000000.0,5,1
6.050.000 TL,Turgutlu,155,2,5. Kat,1 Yaşında,Yerden Isıtma,Var,Var,Var,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,6050000.0,3,1
3.050.000 TL,Turgutlu,120,1,4. Kat,5 Yaşında,Kombi,Var,Var,Yok,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3050000.0,3,1
3.600.000 TL,Kirkagac,125,1,4. Kat,5 Yaşında,Kombi,Yok,Yok,Yok,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3600000.0,3,1
3.725.000 TL,Saruhanli,400,1,Bahçe Katı,11 Yaşında,Soba,Yok,Var,Yok,-,Boş,Arsa,Hayır,Eşyalı,3725000.0,2,1
9.095.000 TL,Yunusemre,150,2,Yüksek Giriş,Sıfır Bina,Kombi,Yok,Yok,Var,-,Kiracılı,Kat Mülkiyeti,Evet,Eşyalı Değil,9095000.0,3,1
2.950.000 TL,Yunusemre,70,1,Yüksek Giriş,Sıfır Bina,Yerden Isıtma,Yok,Var,Var,Sıfır,Boş,Kat İrtifakı,Evet,Eşyalı Değil,2950000.0,1,1
4.000.000 TL,Yunusemre,100,1,1. Kat,Sıfır Bina,Kombi,Yok,Var,Var,Sıfır,Boş,Kat İrtifakı,-,Eşyalı Değil,4000000.0,2,1
9.750.000 TL,Turgutlu,202,1,3. Kat,Sıfır Bina,Yerden Isıtma,Var,Var,Var,-,Boş,Kat Mülkiyeti,Hayır,-,9750000.0,3,1
3.100.000 TL,Yunusemre,90,1,2. Kat,6 Yaşında,Kombi,Yok,Var,Yok,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,3100000.0,2,1
3.090.000 TL,Turgutlu,120,2,3. Kat,11 Yaşında,Kombi,Var,Var,Var,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,3090000.0,3,1
3.900.000 TL,Salihli,125,1,Kot 2,Sıfır Bina,Kombi,Var,Var,Var,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3900000.0,3,1
6.250.000 TL,Yunusemre,230,2,4. Kat,5 Yaşında,Kombi,Yok,Yok,Var,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,6250000.0,6,2
11.500.000 TL,Yunusemre,230,2,Bahçe Katı,26 Yaşında,Kombi,Yok,Yok,Yok,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,11500000.0,5,1
2.910.000 TL,Yunusemre,95,1,Yüksek Giriş,4 Yaşında,Kombi,Yok,Yok,Var,-,Kiracılı,Kat İrtifakı,Evet,Eşyalı Değil,2910000.0,2,1
2.800.000 TL,Turgutlu,120,1,4. Kat,25 Yaşında,Kombi,Yok,Var,Yok,İkinci El,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,2800000.0,3,1
2.650.000 TL,Saruhanli,100,1,Yüksek Giriş,4 Yaşında,Kombi,Var,Yok,Yok,İkinci El,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,2650000.0,2,1
4.200.000 TL,Akhisar,130,1,1. Kat,3 Yaşında,Kombi,Yok,Var,Var,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,4200000.0,3,1
3.800.000 TL,Turgutlu,155,1,3. Kat,6 Yaşında,Kombi,Yok,Var,Yok,İkinci El,Boş,Kat Mülkiyeti,Evet,-,3800000.0,3,1
4.100.000 TL,Turgutlu,250,2,4. Kat,6 Yaşında,Kombi,Var,Yok,Yok,-,Kiracılı,Kat Mülkiyeti,Evet,Eşyalı Değil,4100000.0,5,1
2.750.000 TL,Saruhanli,125,1,3. Kat,25 Yaşında,Klima,Yok,Var,Yok,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,2750000.0,2,1
3.900.000 TL,Saruhanli,153,1,2. Kat,8 Yaşında,Kombi,Var,Yok,Yok,İkinci El,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,3900000.0,3,1
3.200.000 TL,Turgutlu,90,1,2. Kat,Sıfır Bina,Kombi,Yok,Var,Var,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,3200000.0,2,1
3.900.000 TL,Yunusemre,115,1,3. Kat,11 Yaşında,Kombi,Yok,Var,Yok,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3900000.0,3,1
10.000.000 TL,Akhisar,240,3,Bahçe Katı,2 Yaşında,Yerden Isıtma,Yok,Yok,Yok,-,Mülk Sahibi,Kat İrtifakı,Evet,Eşyalı Değil,10000000.0,4,1
3.675.000 TL,Salihli,110,1,1. Kat,1 Yaşında,Kombi,Var,Var,Var,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,3675000.0,2,1
5.500.000 TL,Turgutlu,185,2,4. Kat,2 Yaşında,Yerden Isıtma,Var,Var,Var,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,5500000.0,4,1
1.850.000 TL,Turgutlu,110,1,4. Kat,21 Yaşında,Isıtma Yok,Var,Yok,Yok,-,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,1850000.0,2,1
4.400.000 TL,Sehzadeler,150,2,-,40 Yaşında,Kombi,Yok,Yok,Var,İkinci El,Kiracılı,Müstakil Tapulu,Hayır,Eşyalı Değil,4400000.0,4,2
3.500.000 TL,Akhisar,90,2,1. Kat,1 Yaşında,Yerden Isıtma,Yok,Yok,Var,Sıfır,Boş,Kat İrtifakı,Evet,Eşyalı Değil,3500000.0,2,1
2.100.000 TL,Sehzadeler,96,1,Çatı Katı,30 Yaşında,Kombi,Var,Var,Yok,İkinci El,-,Kat İrtifakı,-,Eşyalı Değil,2100000.0,2,1
2.670.000 TL,Yunusemre,50,1,3. Kat,Sıfır Bina,Kombi,Yok,Yok,Yok,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,2670000.0,1,1
3.200.000 TL,Akhisar,100,1,2. Kat,Sıfır Bina,Yerden Isıtma,Yok,Var,Var,Sıfır,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3200000.0,2,1
