Fiyat,Ilce,Oda,M2,Banyo,Kat,Bina_Yasi,Isinma,Balkon,Asansor,Garaj,Yapı Durumu,Kullanım Durumu,Tapu Durumu,Takas,Eşya Durumu
2.750.000 TL,Turgutlu,2 + 1,85,1,3. Kat,5 Yaşında,Kombi,Var,Var,Var,-,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil
3.100.000 TL,Yunusemre,2 + 1,80,1,2. Kat,4 Yaşında,Kombi,Var,Var,Yok,-,Kiracılı,Kat Mülkiyeti,Evet,Eşyalı Değil
1.150.000 TL,Ahmetli,1 + 1,80,1,2. Kat,5 Yaşında,Kombi,Yok,Yok,Yok,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil
3.550.000 TL,Sehzadeler,3 + 1,120,1,3. Kat,25 Yaşında,Kombi,Var,Var,Yok,İkinci El,-,Kat İrtifakı,Hayır,Eşyalı Değil
3.975.000 TL,Sehzadeler,3 + 1,120,1,Bahçe Katı,21 Yaşında,Kombi,Yok,Var,Yok,İkinci El,Boş,Kat Mülkiyeti,Evet,-
1.595.000 TL,Turgutlu,3 + 1,120,1,2. Kat,26 Yaşında,Isıtma Yok,Yok,Yok,Yok,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil
3.950.000 TL,Sehzadeler,3 + 1,120,1,Ara Kat,25 Yaşında,Kombi,Var,Var,Var,İkinci El,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil
3.495.000 TL,Sehzadeler,3 + 1,130,1,4. Kat,21 Yaşında,Kombi,Yok,Var,Var,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil
565.000 TL,Akhisar,1 + 1,73,-,Bahçe Katı,31 Yaşında,Isıtma Yok,Yok,Yok,Yok,-,Boş,Müstakil Tapulu,Hayır,Eşyalı Değil
1.725.000 TL,Akhisar,3 + 1,91,1,-,40 Yaşında,Soba,Yok,Yok,Yok,İkinci El,Kiracılı,Müstakil Tapulu,Hayır,Eşyalı Değil
2.680.000 TL,Turgutlu,3 + 1,115,1,3. Kat,1 Yaşında,Kombi,Yok,Yok,Yok,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil
7.100.000 TL,Yunusemre,4 + 1,160,2,Çatı Katı,16 Yaşında,Kombi,Var,Var,Var,-,Kiracılı,Kat İrtifakı,Evet,Eşyalı Değil
3.400.000 TL,Salihli,3 + 1,125,1,Yüksek Giriş,18 Yaşında,Kombi,Yok,Yok,Yok,-,Boş,Kat Mülkiyeti,-,Eşyalı Değil
2.700.000 TL,Saruhanli,1 + 1,50,1,Yüksek Giriş,1 Yaşında,Isıtma Yok,Yok,Yok,Yok,-,-,Müstakil Tapulu,-,-
750.000 TL,Akhisar,1 + 1,34,1,-,10 Yaşında,Soba,Yok,Yok,Yok,İkinci El,Boş,Arsa,-,Eşyalı Değil
2.950.000 TL,Yunusemre,3 + 1,125,1,5. Kat,26 Yaşında,Kombi,Yok,Yok,Yok,-,Mülk Sahibi,Kat İrtifakı,Evet,-
4.650.000 TL,Sehzadeler,3 + 1,135,1,4. Kat,26 Yaşında,Kombi,Var,Var,Yok,İkinci El,Boş,Kat Mülkiyeti,-,Eşyalı Değil
2.475.000 TL,Turgutlu,2 + 1,90,1,1. Kat,6 Yaşında,Kombi,Yok,Var,Var,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil
3.950.000 TL,Yunusemre,3 + 1,130,1,2. Kat,8 Yaşında,Kombi,Yok,Var,Var,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı Değil
2.000.000 TL,Salihli,2 + 1,345,1,-,15 Yaşında,Soba,Yok,Yok,Yok,İkinci El,Mülk Sahibi,Kat Mülkiyeti,-,Eşyalı Değil
2.340.000 TL,Yunusemre,1 + 1,70,1,3. Kat,Sıfır Bina,Kombi,Yok,Yok,Yok,-,Boş,Kat İrtifakı,Hayır,Eşyalı
3.290.000 TL,Sehzadeler,2 + 1,130,1,-,Sıfır Bina,Klima,Yok,Yok,Yok,Sıfır,Mülk Sahibi,Müstakil Tapulu,Evet,Eşyalı Değil
3.500.000 TL,Yunusemre,3 + 1,430,1,-,25 Yaşında,Klima,Yok,Yok,Yok,İkinci El,Boş,Müstakil Tapulu,Hayır,Eşyalı Değil
2.950.000 TL,Sehzadeler,2 + 1,85,1,Yüksek Giriş,25 Yaşında,Klima,Yok,Yok,Yok,İkinci El,Kiracılı,Kat İrtifakı,Evet,Eşyalı
2.100.000 TL,Akhisar,3 + 1,140,1,1. Kat,26 Yaşında,Klima,Yok,Var,Yok,İkinci El,Boş,Kat Mülkiyeti,-,Eşyalı Değil
2.950.000 TL,Sehzadeler,3 + 1,105,1,En Üst Kat,25 Yaşında,Kombi,Var,Yok,Yok,İkinci El,Mülk Sahibi,Kat İrtifakı,Evet,Eşyalı Değil
