Baslik,Fiyat,Il,Ilce,Mahalle,Konum,Oda,M2,Banyo,Kat,Bina_Yasi,Isinma,Balkon,Asansor,Garaj,Yapı Durumu,Kullanım Durumu,Tapu Durumu,Cephe,Yön,Aidat,Krediye Uygun,Takas,Site İçinde,Güvenlik,Eşya Durumu,İlan Durumu,Ilan_No,Ilan_Tarihi,Link,Cekilme_Tarihi
Manisa Davutlar’da Full Eşyalı satılık villa,9.700.000 TL,Manisa,Yunusemre,Davutlar Mah.,Manisa / Yunusemre / Davutlar Mah.,4 + 1,720,3,-,7 Yaşında,Kombi,Yok,Yok,Yok,İkinci El,-,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",etin,-,...,-,Haritası,Hatırlatmaları,-,Satılık,160489-47,20-11-2025,https://www.hepsiemlak.com/manisa-yunusemre-davutlar-satilik/villa/160489-47,2025-12-03 15:58:02
SAHİBİNDEN SATILIK / Reşatbey Mahallesinde Lüks 3+1 Daire,4.150.000 TL,Manisa,Akhisar,Resat Mah.,Manisa / Akhisar / Resat Mah.,3 + 1,120,2,3. Kat,Sıfır Bina,Yerden Isıtma,Var,Var,Var,Sıfır,Boş,Kat İrtifakı,"Güney, Doğu",etin,-,...,Evet,İçerisinde,Hatırlatmaları,Eşyalı Değil,Satılık,0-45621633,22-11-2025,https://www.hepsiemlak.com/manisa-akhisar-resat-bey-satilik/daire/0-45621633,2025-12-03 15:58:20
Aksoy da masrafsız bakımlı doğalgazlı,3.600.000 TL,Manisa,Salihli,Aksoy Mah.,Manisa / Salihli / Aksoy Mah.,3 + 1,135,1,Yüksek Giriş,30 Yaşında,Kombi,Yok,Yok,Var,İkinci El,Mülk Sahibi,Kat İrtifakı,-,etin,-,...,Hayır,İçerisinde,Hatırlatmaları,Eşyalı Değil,Satılık,0-45614987,19-11-2025,https://www.hepsiemlak.com/manisa-salihli-aksoy-satilik/daire/0-45614987,2025-12-03 15:58:39
Şehzadeler,10.500.000 TL,Manisa,Sehzadeler,Mimar Mah.,Manisa / Sehzadeler / Mimar Mah.,4 + 1,400,3,5. Kat,21 Yaşında,Kombi,Yok,Yok,Yok,-,Boş,Kat Mülkiyeti,"Doğu, Batı",etin,-,...,Hayır,Haritası,Hatırlatmaları,Eşyalı,Satılık,161356-40,25-11-2025,https://www.hepsiemlak.com/manisa-sehzadeler-mimar-sinan-satilik/daire/161356-40,2025-12-03 15:59:02
Yeni Mahallede'de Satılık Sıfır Çatı Dubleks,5.700.000 TL,Manisa,Yunusemre,Yeni Mah.,Manisa / Yunusemre / Yeni Mah.,3 + 1,230,2,Çatı Katı,1 Yaşında,Kombi,Yok,Var,Yok,-,Boş,Kat İrtifakı,-,etin,-,...,Hayır,İçerisinde,Hatırlatmaları,Eşyalı Değil,Satılık,102443-816,30-11-2025,https://www.hepsiemlak.com/manisa-yunusemre-yeni-mahalle-satilik/daire/102443-816,2025-12-03 15:59:23
🚨 ACİL SATILIK! UYGUN FİYATLI 3+1 YÜKSEK GİRİŞ DAİRE – MURADİYE CUMHURİYET OKULU CİVARI,3.150.000 TL,Manisa,Yunusemre,Muradiye Mah.,Manisa / Yunusemre / Muradiye Mah.,3 + 1,95,1,Yüksek Giriş,10 Yaşında,Kombi,Yok,Var,Yok,İkinci El,Boş,Kat İrtifakı,Güney,etin,200 TL,...,Evet,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,160648-26,01-12-2025,https://www.hepsiemlak.com/manisa-yunusemre-muradiye-satilik/daire/160648-26,2025-12-03 16:01:38
SERKAN YILMAZ'DAN TOPÇUASIM MAH 3+1 ULTRA LÜX ÖNÜ AÇIK,4.450.000 TL,Manisa,Yunusemre,Topcuasim Mah.,Manisa / Yunusemre / Topcuasim Mah.,3 + 1,125,1,4. Kat,21 Yaşında,Kombi,Yok,Var,Yok,-,Boş,Kat Mülkiyeti,li Arakat Önü Açık 4.450.000₺ Pazarlıklı,etin,-,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,161259-12,28-11-2025,https://www.hepsiemlak.com/manisa-yunusemre-topcuasim-satilik/daire/161259-12,2025-12-03 16:01:59
UZUN EMLAK'TAN TEVFİKİYE 'DE 3+1 ÖNÜ AÇIK DAİRE,3.200.000 TL,Manisa,Yunusemre,Tevfikiye Mah.,Manisa / Yunusemre / Tevfikiye Mah.,3 + 1,120,1,4. Kat,25 Yaşında,Kombi,Var,Yok,Yok,-,-,Kat Mülkiyeti,-,etin,-,...,-,Haritası,Hatırlatmaları,-,Satılık,129877-307,29-11-2025,https://www.hepsiemlak.com/manisa-yunusemre-tevfikiye-satilik/daire/129877-307,2025-12-03 16:02:19
KİRVEM EMLAK'TAN 2+1 ÖZELLİKLİ DAİRE-KAPALI MUTFAK,2.995.000 TL,Manisa,Saruhanli,Saruhan Mah.,Manisa / Saruhanli / Saruhan Mah.,2 + 1,105,1,3. Kat,1 Yaşında,Kombi,Yok,Var,Yok,-,Boş,Kat İrtifakı,-,etin,-,...,Evet,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,162496-25,27-11-2025,https://www.hepsiemlak.com/manisa-saruhanli-saruhan-satilik/daire/162496-25,2025-12-03 16:02:42
"LARİN'DEN DUBLEKS DAİRE TERASLI, KAPALI OTOPARKLI 4+1",4.670.000 TL,Manisa,Akhisar,Ataturk Mah.,Manisa / Akhisar / Ataturk Mah.,4 + 1,240,2,4. Kat,1 Yaşında,Kombi,Var,Yok,Var,-,Boş,Kat Mülkiyeti,"Doğu, Batı",etin,500 TL,...,Evet,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,158857-22,28-11-2025,https://www.hepsiemlak.com/manisa-akhisar-ataturk-satilik/daire/158857-22,2025-12-03 16:03:05
Manisa Adakale Mah. Satılık 3+1 Daire 140m²,3.375.000 TL,Manisa,Sehzadeler,Adakale Mah.,Manisa / Sehzadeler / Adakale Mah.,3 + 1,140,1,5. Kat,31 Yaşında,Kombi,Var,Var,Var,-,Mülk Sahibi,Kat Mülkiyeti,-,etimi-,-,...,Evet,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,155351-76,26-11-2025,https://www.hepsiemlak.com/manisa-sehzadeler-adakale-satilik/daire/155351-76,2025-12-03 16:03:30
MANİSA AKHİSAR İLÇESİ SEYİT AHMET MAHALLESİNDE SATILIK 3+1 DAİRE,4.200.000 TL,Manisa,Akhisar,Efendi Mah.,Manisa / Akhisar / Efendi Mah.,3 + 0,148,1,En Üst Kat,3 Yaşında,Kombi,Var,Var,Var,-,Boş,Kat Mülkiyeti,Batı,etin,-,...,Hayır,Haritası,Hatırlatmaları,Eşyalı,Satılık,48336-232,01-12-2025,https://www.hepsiemlak.com/manisa-akhisar-efendi-satilik/daire/48336-232,2025-12-03 16:03:54
MANİSA KIRKAĞAÇTA DOĞALGAZLI SATILIK SIFIR 3+1 DAİRE,3.550.000 TL,Manisa,Kirkagac,Sair Mah.,Manisa / Kirkagac / Sair Mah.,3 + 1,120,2,3. Kat,Sıfır Bina,Kombi,Var,Yok,Var,-,Boş,Kat İrtifakı,-,etin,-,...,Evet,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,156747-290,19-11-2025,https://www.hepsiemlak.com/manisa-kirkagac-sair-esref-satilik/daire/156747-290,2025-12-03 16:04:16
KERVAN YOLUNA YAKIN SATILIK 2+1 DAİRE,2.500.000 TL,Manisa,Turgutlu,Cumhuriyet Mah.,Manisa / Turgutlu / Cumhuriyet Mah.,2 + 1,132,1,1. Kat,12 Yaşında,Kombi,Yok,Yok,Yok,İkinci El,Boş,Kat Mülkiyeti,-,etin,-,...,-,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,156788-172,02-12-2025,https://www.hepsiemlak.com/manisa-turgutlu-cumhuriyet-satilik/daire/156788-172,2025-12-03 16:04:36
Akdeniz Emlak'tan Satılık Yunus Emre İlç Barbaros Mah 2+1 112 m2 Daire,2.490.000 TL,Manisa,Yunusemre,Barbaros Mah.,Manisa / Yunusemre / Barbaros Mah.,2 + 1,111,1,Yüksek Giriş,33 Yaşında,Soba,Yok,Var,Var,İkinci El,Kiracılı,Kat Mülkiyeti,Güney,etin,-,...,Hayır,Haritası,Hatırlatmaları,-,Satılık,22228-10986,29-11-2025,https://www.hepsiemlak.com/manisa-yunusemre-barbaros-satilik/daire/22228-10986,2025-12-03 16:04:57
ŞEHZADELER KUŞLUBAHÇEDE FIRSAT TEK TAPU ÇİFT DAİRE HER İKİ TARAFTADA BAHÇE VAR KARANLIK ODASI YOK.,4.550.000 TL,Manisa,Sehzadeler,Sehitler Mah.,Manisa / Sehzadeler / Sehitler Mah.,4 + 2,340,2,Zemin,10 Yaşında,Kombi,Yok,Var,Yok,-,Kiracılı,Kat Mülkiyeti,-,etin,-,...,Evet,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,109960-176,03-12-2025,https://www.hepsiemlak.com/manisa-sehzadeler-sehitler-satilik/daire/109960-176,2025-12-03 16:05:33
23 NİSAN PARKI CİVARI SATILIK 4+1 ÇATI DUBLEX,5.300.000 TL,Manisa,Yunusemre,Muradiye Mah.,Manisa / Yunusemre / Muradiye Mah.,4 + 1,200,2,5. Kat,8 Yaşında,Kombi,Yok,Var,Yok,İkinci El,Kiracılı,Kat İrtifakı,"Kuzey, Güney",etin,-,...,Evet,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,70124-4056,24-11-2025,https://www.hepsiemlak.com/manisa-yunusemre-muradiye-satilik/daire/70124-4056,2025-12-03 16:05:56
Şehir merkezinde 17 sk eşyalı satılık 2+1,2.900.000 TL,Manisa,Akhisar,Ragip Mah.,Manisa / Akhisar / Ragip Mah.,2 + 1,85,1,1. Kat,19 Yaşında,Kombi,Yok,Yok,Yok,İkinci El,Kiracılı,Kat Mülkiyeti,"Doğu, Batı",etin,100 TL,...,Evet,Haritası,Hatırlatmaları,Eşyalı,Satılık,0-45599056,15-11-2025,https://www.hepsiemlak.com/manisa-akhisar-ragip-bey-satilik/daire/0-45599056,2025-12-03 16:06:15
Akhisar Reşatbey Mahallesi'nde 2+1 Satılık Daire,3.000.000 TL,Manisa,Akhisar,Resat Mah.,Manisa / Akhisar / Resat Mah.,2 + 1,80,1,1. Kat,Sıfır Bina,Kombi,Yok,Var,Var,Sıfır,Boş,Kat İrtifakı,Doğu,etin,-,...,Hayır,sinde Bireysel Otoparklı 2+1 Satılık Daire.,Hatırlatmaları,Eşyalı Değil,Satılık,94137-1398,25-11-2025,https://www.hepsiemlak.com/manisa-akhisar-resat-bey-satilik/daire/94137-1398,2025-12-03 16:06:33
SARUHANLI CENGİZ TOPEL MAH. 1+1 EŞYALI SATILIK ARAKAT DAİRE,2.650.000 TL,Manisa,Saruhanli,Cengiz Mah.,Manisa / Saruhanli / Cengiz Mah.,1 + 1,55,1,2. Kat,Sıfır Bina,Yerden Isıtma,Yok,Yok,Var,-,Kiracılı,Kat İrtifakı,Doğu,etin,-,...,Hayır,Haritası,Hatırlatmaları,Eşyalı,Satılık,163565-129,01-12-2025,https://www.hepsiemlak.com/manisa-saruhanli-cengiz-topel-satilik/daire/163565-129,2025-12-03 16:06:54
SATILIK KELİDE 3+1 125 M2 KOMBİLİ ÖZEL OTOPARKLI SIFIR ARA KAT,3.650.000 TL,Manisa,Salihli,Keli Mah.,Manisa / Salihli / Keli Mah.,3 + 1,125,1,3. Kat,Sıfır Bina,Kombi,Var,Var,Var,Sıfır,Boş,Kat İrtifakı,"Doğu, Batı",etin,1 TL,...,Evet,Haritası,Hatırlatmaları,-,Satılık,150639-47,27-11-2025,https://www.hepsiemlak.com/manisa-salihli-keli-satilik/daire/150639-47,2025-12-03 16:07:15
Akhisar Atatürk Mah. Prestij Caddesi Arkasında Satılık 3+1 Daire,4.800.000 TL,Manisa,Akhisar,Ataturk Mah.,Manisa / Akhisar / Ataturk Mah.,3 + 1,125,1,1. Kat,1 Yaşında,Yerden Isıtma,Yok,Yok,Var,Sıfır,Boş,Kat İrtifakı,"Kuzey, Güney",etin,-,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,94123-2775,28-11-2025,https://www.hepsiemlak.com/manisa-akhisar-ataturk-satilik/daire/94123-2775,2025-12-03 16:07:33
YUNUSEMRE KEÇİLİKÖY'DE 5+2 SATILIK MÜSTAKİL LÜKS VİLLA,58.900.000 TL,Manisa,Yunusemre,Kecili Mah.,Manisa / Yunusemre / Kecili Mah.,5 + 2,480,4,-,11 Yaşında,Yerden Isıtma,Yok,Yok,Var,İkinci El,Mülk Sahibi,Kat İrtifakı,"Kuzey, Güney, Batı",etin,-,...,-,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,154167-345,11-11-2025,https://www.hepsiemlak.com/manisa-yunusemre-kecili-koy-satilik/villa/154167-345,2025-12-03 16:07:55
bozkurt mahallesi acil satılık müstakil ev 175 m2,2.100.000 TL,Manisa,Turgutlu,Bozkurt Mah.,Manisa / Turgutlu / Bozkurt Mah.,3 + 1,175,1,Bahçe Katı,21 Yaşında,Soba,Yok,Yok,Yok,-,Kiracılı,Müstakil Tapulu,-,etin,-,...,Hayır,Haritası,Hatırlatmaları,-,Satılık,154992-60,02-12-2025,https://www.hepsiemlak.com/manisa-turgutlu-bozkurt-satilik/mustakil-ev/154992-60,2025-12-03 16:08:16
ÇOK HESAPLI KELEPIR DAIRE,2.900.000 TL,Manisa,Turgutlu,Yigitler Mah.,Manisa / Turgutlu / Yigitler Mah.,3 + 1,140,1,5. Kat,7 Yaşında,Kombi,Yok,Var,Yok,İkinci El,Boş,Kat Mülkiyeti,-,etin,-,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,160009-71,29-11-2025,https://www.hepsiemlak.com/manisa-turgutlu-yigitler-satilik/daire/160009-71,2025-12-03 16:08:37
Ergenekon Mahallesinde Kaçırılmayacak Uygun Fiyat Dubleks,5.500.000 TL,Manisa,Turgutlu,Ergenekon Mah.,Manisa / Turgutlu / Ergenekon Mah.,3 + 1,170,3,4. Kat,2 Yaşında,Yerden Isıtma,Var,Yok,Var,-,Mülk Sahibi,Kat Mülkiyeti,-,etin,-,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,160048-114,01-12-2025,https://www.hepsiemlak.com/manisa-turgutlu-ergenekon-satilik/daire/160048-114,2025-12-03 16:09:29
DIALOG ATA GAYRİMENKUL'DEN YİĞİTLER MAHALLESİ'NDE 2+1 DAİRE,2.700.000 TL,Manisa,Turgutlu,Yigitler Mah.,Manisa / Turgutlu / Yigitler Mah.,2 + 1,95,1,1. Kat,11 Yaşında,Kombi,Yok,Var,Yok,-,Boş,Kat Mülkiyeti,-,etin,-,...,Evet,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,164259-29,01-12-2025,https://www.hepsiemlak.com/manisa-turgutlu-yigitler-satilik/daire/164259-29,2025-12-03 16:09:46
Manisa Yunusemre Kaynak Mahallesi'nde Satılık Dubleks,6.200.000 TL,Manisa,Yunusemre,Kaynak Mah.,Manisa / Yunusemre / Kaynak Mah.,4 + 1,220,2,5. Kat,17 Yaşında,Kombi,Var,Var,Var,İkinci El,Mülk Sahibi,Müstakil Tapulu,-,etin,-,...,-,Haritası,Hatırlatmaları,Eşyalı,Satılık,164260-15,27-11-2025,https://www.hepsiemlak.com/manisa-yunusemre-kaynak-satilik/daire/164260-15,2025-12-03 16:10:06
YEDİ EYLÜL MAH. SATILIK 3+1 ARAKAT DAİRE,3.500.000 TL,Manisa,Turgutlu,Ataturk Mah.,Manisa / Turgutlu / Ataturk Mah.,3 + 1,130,1,1. Kat,11 Yaşında,Kombi,Var,Var,Var,-,Mülk Sahibi,Kat Mülkiyeti,-,etin,-,...,Evet,Haritası,Hatırlatmaları,-,Satılık,154871-45,27-11-2025,https://www.hepsiemlak.com/manisa-turgutlu-ataturk-satilik/daire/154871-45,2025-12-03 16:10:33
MANİSA TURGUTLU SUBAŞI M SATILIK SIFIR DUBLEX DAİRE ASANSÖRLÜ,7.500.000 TL,Manisa,Turgutlu,Subasi Mah.,Manisa / Turgutlu / Subasi Mah.,4 + 1,255,3,4. Kat,Sıfır Bina,Kombi,Var,Var,Var,-,Boş,Kat Mülkiyeti,-,etin,-,...,Evet,Haritası,Hatırlatmaları,-,Satılık,164007-33,30-11-2025,https://www.hepsiemlak.com/manisa-turgutlu-subasi-satilik/daire/164007-33,2025-12-03 16:11:01
SALİHLİ SATILIK KÖŞE 275 M2 2 KATLI EV VE ARSA KARAOĞLANLI KÖYÜ,3.250.000 TL,Manisa,Salihli,Karaoglanli Mah.,Manisa / Salihli / Karaoglanli Mah.,4 + 1,275,1,Bahçe Katı,31 Yaşında,Isıtma Yok,Yok,Yok,Yok,-,Boş,Müstakil Tapulu,"Güney, Batı",etin,-,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,153067-85,25-11-2025,https://www.hepsiemlak.com/manisa-salihli-karaoglanli-satilik/mustakil-ev/153067-85,2025-12-03 16:11:25
AKHİSAR EFENDİ FAHRİ SERTEL EMLAKTAN 2+1 OTOPARKLI SATILIK DAİRE,2.980.000 TL,Manisa,Akhisar,Efendi Mah.,Manisa / Akhisar / Efendi Mah.,2 + 1,95,1,3. Kat,5 Yaşında,Kombi,Var,Var,Var,-,-,Müstakil Tapulu,-,etin,-,...,-,Haritası,Hatırlatmaları,-,Satılık,144740-267,29-11-2025,https://www.hepsiemlak.com/manisa-akhisar-efendi-satilik/daire/144740-267,2025-12-03 16:11:48
ACISU CADDESİ ÜZERİ 4+1 DUBLEKS DAİRE,6.250.000 TL,Manisa,Salihli,Kocacesme Mah.,Manisa / Salihli / Kocacesme Mah.,4 + 1,175,2,4. Kat,2 Yaşında,Kombi,Yok,Var,Var,-,-,Kat İrtifakı,-,etin,-,...,-,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,152193-108,03-12-2025,https://www.hepsiemlak.com/manisa-salihli-kocacesme-satilik/daire/152193-108,2025-12-03 16:12:12
YILDIZ EMLAK 'tan 2+1 KAPALI MUTFAK ÇİFT CEPHE DAİRE,3.650.000 TL,Manisa,Yunusemre,Muradiye Mah.,Manisa / Yunusemre / Muradiye Mah.,2 + 1,105,1,4. Kat,6 Yaşında,Kombi,Var,Var,Yok,-,Mülk Sahibi,Kat İrtifakı,-,etin,-,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,152164-43,26-11-2025,https://www.hepsiemlak.com/manisa-yunusemre-muradiye-satilik/daire/152164-43,2025-12-03 16:12:36
Mavi Emlak'tan Yeni Mahalle'de Yatırıma Uygun Yüksek Zemin,3.250.000 TL,Manisa,Yunusemre,Yeni Mah.,Manisa / Yunusemre / Yeni Mah.,1 + 1,60,1,Yüksek Giriş,2 Yaşında,Kombi,Var,Yok,Yok,-,Boş,Kat İrtifakı,-,etin,-,...,Hayır,İçerisinde,Hatırlatmaları,Eşyalı Değil,Satılık,102443-815,03-12-2025,https://www.hepsiemlak.com/manisa-yunusemre-yeni-mahalle-satilik/daire/102443-815,2025-12-03 16:12:56
SY YILMAZ EMLAKTAN ANA CADDE ÜZERİ ARAKAT DAİRE,3.750.000 TL,Manisa,Sehzadeler,Alaybey Mah.,Manisa / Sehzadeler / Alaybey Mah.,3 + 1,125,1,1. Kat,16 Yaşında,Kombi,Var,Var,Yok,-,Boş,Kat Mülkiyeti,-,etin,-,...,Evet,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,161259-8,28-11-2025,https://www.hepsiemlak.com/manisa-sehzadeler-alaybey-satilik/daire/161259-8,2025-12-03 16:13:47
KİRVEM EMLAK'TAN 3+1 DAİRE- CENGİZ TOPEL MAH. - KAPALI MUTFAK,4.350.000 TL,Manisa,Saruhanli,Cengiz Mah.,Manisa / Saruhanli / Cengiz Mah.,3 + 1,140,1,2. Kat,1 Yaşında,Kombi,Var,Var,Yok,-,Boş,Kat İrtifakı,-,etin,-,...,Evet,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,162496-15,27-11-2025,https://www.hepsiemlak.com/manisa-saruhanli-cengiz-topel-satilik/daire/162496-15,2025-12-03 16:14:04
Manisa Karaoğlanlı'da mükemmel manzaraya sahip müstakil ev,6.200.000 TL,Manisa,Sehzadeler,Karaoglanli Mah.,Manisa / Sehzadeler / Karaoglanli Mah.,8 + 3,318,3,-,21 Yaşında,Soba,Yok,Yok,Var,-,Boş,Tapu Yok,-,etin,-,...,Evet,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,155351-16,26-11-2025,https://www.hepsiemlak.com/manisa-sehzadeler-karaoglanli-satilik/mustakil-ev/155351-16,2025-12-03 16:14:22
MURADİYE SU DEPOSU CİVARİ 2+1 FULL EŞYALI YATIRIMLIK DAİRE,3.050.000 TL,Manisa,Yunusemre,Muradiye Mah.,Manisa / Yunusemre / Muradiye Mah.,2 + 1,80,1,3. Kat,6 Yaşında,Kombi,Yok,Yok,Yok,-,Boş,Kat İrtifakı,"Kuzey, Batı",etin,-,...,Evet,Haritası,Hatırlatmaları,Eşyalı,Satılık,113593-293,27-11-2025,https://www.hepsiemlak.com/manisa-yunusemre-muradiye-satilik/daire/113593-293,2025-12-03 16:14:47
KW den Uncubozköyde Satılık 2+1 Doğa Manzaralı,5.750.000 TL,Manisa,Yunusemre,Uncubozkoy Mah.,Manisa / Yunusemre / Uncubozkoy Mah.,2 + 1,115,1,Yüksek Giriş,11 Yaşında,Kombi,Var,Yok,Var,-,Mülk Sahibi,Kat İrtifakı,Batı,etin,500 TL,...,Hayır,İçerisinde,Hatırlatmaları,Eşyalı Değil,Satılık,112706-8056,28-11-2025,https://www.hepsiemlak.com/manisa-yunusemre-uncubozkoy-satilik/daire/112706-8056,2025-12-03 16:15:21
AKMAN'DAN MURADİYE MAH.%80 KREDİ CIKAN SATILIK 1+1 HAVUZLU DAİRE,3.000.000 TL,Manisa,Yunusemre,Muradiye Mah.,Manisa / Yunusemre / Muradiye Mah.,1 + 1,58,1,2. Kat,Sıfır Bina,Kombi,Yok,Yok,Yok,-,Boş,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı",etin,-,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,113243-82,01-12-2025,https://www.hepsiemlak.com/manisa-yunusemre-muradiye-satilik/daire/113243-82,2025-12-03 16:15:41
CUMHURİYET MAHALLESİNDE SATILIK DAİRE,7.500.000 TL,Manisa,Yunusemre,Cumhuriyet Mah.,Manisa / Yunusemre / Cumhuriyet Mah.,3 + 1,160,2,10. Kat,15 Yaşında,Kombi,Yok,Var,Var,İkinci El,Kiracılı,Müstakil Tapulu,-,etin,-,...,Hayır,İçerisinde,Hatırlatmaları,Eşyalı Değil,Satılık,152027-36,27-11-2025,https://www.hepsiemlak.com/manisa-yunusemre-cumhuriyet-satilik/daire/152027-36,2025-12-03 16:16:06
NOVA'DAN ERGENEKON MAHALLESİ'NDE SATILIK 3+1 ARAKAT LÜKS DAİRE,5.800.000 TL,Manisa,Turgutlu,Ergenekon Mah.,Manisa / Turgutlu / Ergenekon Mah.,3 + 1,135,2,Ara Kat,Sıfır Bina,Yerden Isıtma,Var,Var,Var,Sıfır,Boş,Kat İrtifakı,-,etin,-,...,Evet,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,123058-2131,26-11-2025,https://www.hepsiemlak.com/manisa-turgutlu-ergenekon-satilik/daire/123058-2131,2025-12-03 16:16:27
Akhisar Bekirler Köy İçi Satılık Köşe Müstakil Köy Evi&Çiftlik,5.250.000 TL,Manisa,Akhisar,Bekirler Mah.,Manisa / Akhisar / Bekirler Mah.,4 + 2,677,2,-,25 Yaşında,Soba,Yok,Yok,Yok,İkinci El,Boş,Müstakil Tapulu,"Kuzey, Doğu, Batı",etin,-,...,Evet,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,72047-1577,11-11-2025,https://www.hepsiemlak.com/manisa-akhisar-bekirler-satilik/mustakil-ev/72047-1577,2025-12-03 16:16:47
"Acarlar Mahallesi’nde Asansörlü, Otoparklı 2+1 Sıfır Daire!",3.750.000 TL,Manisa,Turgutlu,Acarlar Mah.,Manisa / Turgutlu / Acarlar Mah.,2 + 1,100,1,Ara Kat,Sıfır Bina,Yerden Isıtma,Var,Var,Var,Sıfır,Boş,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",etin,1 TL,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,162001-69,01-12-2025,https://www.hepsiemlak.com/manisa-turgutlu-acarlar-satilik/daire/162001-69,2025-12-03 16:17:07
ARAS YAPI'DAN MURADİYE'DE ARA KAT 1+1 SATILIK SIFIR DAİRE,2.750.000 TL,Manisa,Yunusemre,Muradiye Mah.,Manisa / Yunusemre / Muradiye Mah.,1 + 1,60,1,3. Kat,Sıfır Bina,Kombi,Var,Var,Var,-,Boş,Kat İrtifakı,-,etin,-,...,Hayır,Satılık 2+1 Daire,Hatırlatmaları,Eşyalı Değil,Satılık,159142-93,25-11-2025,https://www.hepsiemlak.com/manisa-yunusemre-muradiye-satilik/daire/159142-93,2025-12-03 16:17:55
Cengiz Topel mah Ebeveyn banyolu 3+1,4.300.000 TL,Manisa,Saruhanli,Cengiz Mah.,Manisa / Saruhanli / Cengiz Mah.,3 + 1,145,2,1. Kat,5 Yaşında,Kombi,Var,Yok,Yok,İkinci El,Kiracılı,Kat İrtifakı,-,etin,200 TL,...,-,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,9333-1834,27-11-2025,https://www.hepsiemlak.com/manisa-saruhanli-cengiz-topel-satilik/daire/9333-1834,2025-12-03 16:18:16
Akhisar Ulucamii Mahalllesi Cumartesi Pazar Karşısı 3+1 Satılık Sıfır Daire,4.250.000 TL,Manisa,Akhisar,Ulu Mah.,Manisa / Akhisar / Ulu Mah.,3 + 1,130,1,1. Kat,Sıfır Bina,Kombi,Yok,Var,Var,Sıfır,Boş,Kat İrtifakı,"Güney, Batı",etin,1 TL,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,94123-2764,03-12-2025,https://www.hepsiemlak.com/manisa-akhisar-ulu-camii-satilik/daire/94123-2764,2025-12-03 16:18:39
AKHİSAR HÜRRİYET MAH. HASTANE KARŞISI SATILIK 3+1 ARAKAT DAİRE,3.800.000 TL,Manisa,Akhisar,Hurriyet Mah.,Manisa / Akhisar / Hurriyet Mah.,3 + 1,130,1,3. Kat,25 Yaşında,Kombi,Var,Var,Var,İkinci El,Boş,Kat İrtifakı,"Kuzey, Güney, Doğu",etin,111.111 TL,...,-,2000'de Ferah 3+1 Kaçırılmayacak Fırsat!,Hatırlatmaları,Eşyalı Değil,Satılık,154167-317,24-11-2025,https://www.hepsiemlak.com/manisa-akhisar-hurriyet-satilik/daire/154167-317,2025-12-03 16:19:01
DIALOG ATA'dan Acarlar Mahallesinde 3+1 Geniş Metrajlı Ara Kat,4.500.000 TL,Manisa,Turgutlu,Acarlar Mah.,Manisa / Turgutlu / Acarlar Mah.,3 + 1,205,2,2. Kat,16 Yaşında,Kombi,Var,Var,Yok,-,Mülk Sahibi,Kat Mülkiyeti,-,etin,-,...,Hayır,Haritası,Hatırlatmaları,Eşyalı Değil,Satılık,164259-23,01-12-2025,https://www.hepsiemlak.com/manisa-turgutlu-acarlar-satilik/daire/164259-23,2025-12-03 16:19:22
