Ilce,M2,Banyo,Bina_Yasi,Balkon,Asansor,Garaj,Tapu Durumu,Takas,Eşya Durumu,Fiyat,oda_sayisi,salon_sayisi,Kat,Isinma,yapi_durumu,Kullanim_Boş,Kullanim_Kiracılı,Kullanim_Mülk Sahibi
Yunusemre,257,3,26,0,0,0,Kat İrtifakı,Evet,Eşyalı Değil,16500000.0,4,1,0.0,3,0,0,0,1
Salihli,165,1,20,0,0,0,Kat Mülkiyeti,Hayır,Eşyalı Değil,3250000.0,3,1,3.0,1,0,0,0,1
Turgutlu,110,1,21,0,0,0,Kat Mülkiyeti,Evet,Eşyalı Değil,2600000.0,2,1,4.0,3,0,0,1,0
Salihli,200,1,12,0,0,0,Hisseli Tapu,Evet,Eşyalı Değil,12000000.0,3,1,3.0,1,0,0,0,1
Yunusemre,83,1,12,0,0,0,Kat Mülkiyeti,-,Eşyalı Değil,3970000.0,2,1,3.0,3,0,1,0,0
Yunusemre,115,1,11,0,0,1,Kat İrtifakı,Hayır,Eşyalı Değil,6750000.0,3,1,9.0,3,0,0,0,1
Turgutlu,115,1,6,0,0,0,Kat Mülkiyeti,Hayır,Eşyalı Değil,3250000.0,2,1,0.5,3,0,0,0,1
Sehzadeler,140,1,26,0,0,0,Kat Mülkiyeti,Hayır,Eşyalı Değil,3700000.0,3,1,4.0,3,0,1,0,0
Turgutlu,160,2,5,0,0,0,Arsa,Hayır,-,9900000.0,1,0,0.0,3,0,1,0,0
Turgutlu,135,1,20,1,1,1,Kat Mülkiyeti,Evet,-,3300000.0,4,1,3.0,3,0,0,0,1
Yunusemre,50,1,0,0,1,1,Kat İrtifakı,-,Eşyalı Değil,2575000.0,1,1,0.5,3,2,1,0,0
Salihli,300,3,1,1,0,1,Müstakil Tapulu,Evet,Eşyalı Değil,35000000.0,7,1,3.0,2,0,1,0,0
Yunusemre,75,1,0,0,0,0,Kat İrtifakı,Evet,Eşyalı Değil,2990000.0,2,1,0.5,3,2,1,0,0
Yunusemre,75,1,4,0,1,0,Kat İrtifakı,Hayır,Eşyalı Değil,2950000.0,2,1,2.0,3,0,1,0,0
Turgutlu,85,1,0,1,1,1,Kat İrtifakı,Evet,Eşyalı Değil,2300000.0,2,1,3.0,3,0,1,0,0
