Ilce,M2,Banyo,Bina_Yasi,Isinma,Balkon,Asansor,Garaj,Yapı Durumu,Kullanım Durumu,Tapu Durumu,Takas,Eşya Durumu,Fiyat,oda_sayisi,salon_sayisi,Kat
Yunusemre,130,1,8,Kombi,0,1,1,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3950000.0,3,1,2.0
Salihli,345,1,15,Soba,0,0,0,İkinci El,Mülk Sahibi,Kat Mülkiyeti,-,Eşyalı Değil,2000000.0,2,1,3.0
Yunusemre,70,1,0,Kombi,0,0,0,-,Boş,Kat İrtifakı,Hayır,Eşyalı,2340000.0,1,1,3.0
Sehzadeler,130,1,0,Klima,0,0,0,Sıfır,Mülk Sahibi,Müstakil Tapulu,Evet,Eşyalı Değil,3290000.0,2,1,3.0
Yunusemre,430,1,25,Klima,0,0,0,İkinci El,Boş,Müstakil Tapulu,Hayır,Eşyalı Değil,3500000.0,3,1,3.0
Sehzadeler,85,1,25,Klima,0,0,0,İkinci El,Kiracılı,Kat İrtifakı,Evet,Eşyalı,2950000.0,2,1,0.5
Akhisar,140,1,26,Klima,0,1,0,İkinci El,Boş,Kat Mülkiyeti,-,Eşyalı Değil,2100000.0,3,1,1.0
Sehzadeler,105,1,25,Kombi,1,0,0,İkinci El,Mülk Sahibi,Kat İrtifakı,Evet,Eşyalı Değil,2950000.0,3,1,5.0
Yunusemre,225,2,16,Kombi,0,1,0,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,8850000.0,4,1,4.0
Akhisar,90,1,21,Kombi,0,0,0,-,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,1700000.0,2,1,2.0
Salihli,145,2,1,Kombi,0,1,1,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,2850000.0,2,1,4.0
Turgutlu,115,1,25,Kombi,1,0,0,İkinci El,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,2950000.0,2,1,3.0
Yunusemre,100,1,29,Kombi,1,1,1,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,2850000.0,3,1,5.0
Akhisar,100,1,0,Kombi,0,0,1,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,2500000.0,2,1,3.0
Yunusemre,135,1,11,Kombi,0,1,0,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,4850000.0,3,1,4.0
Alasehir,150,1,15,Kombi,0,0,1,İkinci El,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,3000000.0,3,1,5.0
Yunusemre,160,2,1,Kombi,1,1,1,-,Kiracılı,Kat İrtifakı,Evet,Eşyalı Değil,7950000.0,3,1,0.5
Turgutlu,100,1,25,Kombi,1,0,0,-,-,Kat Mülkiyeti,-,Eşyalı Değil,2300000.0,2,1,3.0
Saruhanli,101,1,0,Kombi,0,0,0,Sıfır,Boş,Kat İrtifakı,Evet,Eşyalı Değil,2300000.0,2,1,3.0
Sehzadeler,105,2,2,Yerden Isıtma,1,0,1,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,4150000.0,2,1,0.5
Yunusemre,65,1,0,Kombi,0,0,1,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,2450000.0,1,1,4.0
Yunusemre,140,1,30,Kombi,1,1,1,İkinci El,Kiracılı,Müstakil Tapulu,Hayır,Eşyalı Değil,3950000.0,3,1,0.0
Soma,95,1,5,Merkezi,0,0,1,İkinci El,Mülk Sahibi,Kat İrtifakı,-,-,2650000.0,2,1,3.0
Sehzadeler,498,1,49,Soba,0,0,1,İkinci El,Boş,Arsa,Hayır,Eşyalı Değil,3950000.0,4,1,3.0
Akhisar,90,1,31,Kombi,0,1,0,-,Mülk Sahibi,Kat İrtifakı,Evet,Eşyalı Değil,2550000.0,2,1,1.0
Yunusemre,120,1,21,Kombi,0,1,1,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,4250000.0,3,1,6.0
Yunusemre,60,1,1,Kombi,0,0,1,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3150000.0,1,1,2.0
Sehzadeler,100,1,26,Kombi,1,0,0,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,2650000.0,2,1,4.0
Turgutlu,209,1,11,Doğalgaz Sobası,0,0,0,-,Mülk Sahibi,Müstakil Tapulu,Hayır,Eşyalı Değil,6750000.0,3,1,0.0
Sehzadeler,115,1,35,Kombi,1,1,1,İkinci El,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3200000.0,3,1,3.0
Salihli,52,1,6,Klima,1,1,0,-,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı Değil,2100000.0,1,1,5.0
Akhisar,110,1,0,Kombi,1,1,1,Sıfır,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3150000.0,2,1,5.0
Yunusemre,120,1,15,Kombi,1,1,0,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı,6250000.0,2,1,-3.0
Turgutlu,130,2,1,Klima,0,1,1,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,2550000.0,2,1,0.5
Gordes,110,1,30,Soba,0,0,0,-,-,Müstakil Tapulu,Hayır,-,4000000.0,3,0,0.0
Turgutlu,342,1,27,Kombi,0,0,1,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,16000000.0,4,1,3.0
Salihli,150,1,25,Klima,1,1,1,İkinci El,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3480000.0,3,1,8.0
Turgutlu,110,1,20,Kombi,0,0,0,İkinci El,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,2600000.0,2,1,5.0
Sehzadeler,90,1,35,Kombi,0,1,0,İkinci El,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,3500000.0,2,1,2.0
Sehzadeler,70,1,30,Kombi,0,0,0,İkinci El,Kiracılı,Kat İrtifakı,Evet,Eşyalı,2650000.0,2,1,0.0
Sehzadeler,150,1,31,Soba,0,0,0,-,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,2200000.0,3,1,5.0
Yunusemre,115,1,3,Kombi,0,1,1,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,3450000.0,2,1,3.0
Yunusemre,170,2,11,Kombi,0,1,1,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,5750000.0,3,1,4.0
Salihli,110,1,50,Klima,0,0,0,-,Boş,Kat İrtifakı,-,Eşyalı Değil,2350000.0,3,1,3.0
Yunusemre,85,1,5,Kombi,0,0,1,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3350000.0,2,1,0.5
Salihli,120,1,21,Klima,0,0,1,-,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı,2725000.0,3,1,3.0
