M2,Banyo,Bina_Yasi,Balkon,Asansor,Garaj,Takas,Eşya Durumu,Fiyat,oda_sayisi,salon_sayisi,Kat,Isinma,yapi_durumu,Kullanim_Boş,Kullanim_Kiracılı,Kullanim_Mülk Sahibi,tapu_durumu,Ilce_Akhisar,Ilce_Alasehir,Ilce_Demirci,Ilce_Gordes,Ilce_Kirkagac,Ilce_Koprubasi,Ilce_Kula,Ilce_Salihli,Ilce_Sarigol,Ilce_Saruhanli,Ilce_Sehzadeler,Ilce_Selendi,Ilce_Soma,Ilce_Turgutlu,Ilce_Yunusemre
90,1,6,0,1,1,0,0,2475000.0,2,1,1.0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
130,1,8,0,1,1,0,0,3950000.0,3,1,2.0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
345,1,15,0,0,0,0,0,2000000.0,2,1,3.0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
70,1,0,0,0,0,0,1,2340000.0,1,1,3.0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
130,1,0,0,0,0,1,0,3290000.0,2,1,3.0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
430,1,25,0,0,0,0,0,3500000.0,3,1,3.0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
85,1,25,0,0,0,1,1,2950000.0,2,1,0.5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
140,1,26,0,1,0,0,0,2100000.0,3,1,1.0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,1,25,1,0,0,1,0,2950000.0,3,1,5.0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
90,1,21,0,0,0,0,0,1700000.0,2,1,2.0,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,2,1,0,1,1,0,0,2850000.0,2,1,4.0,3,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
115,1,25,1,0,0,0,0,2950000.0,2,1,3.0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100,1,29,1,1,1,0,0,2850000.0,3,1,5.0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100,1,0,0,0,1,0,0,2500000.0,2,1,3.0,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,1,11,0,1,0,0,0,4850000.0,3,1,4.0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
150,1,15,0,0,1,0,0,3000000.0,3,1,5.0,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1,25,1,0,0,0,0,2300000.0,2,1,3.0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
101,1,0,0,0,0,1,0,2300000.0,2,1,3.0,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
105,2,2,1,0,1,1,0,4150000.0,2,1,0.5,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
65,1,0,0,0,1,0,0,2450000.0,1,1,4.0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
140,1,30,1,1,1,0,0,3950000.0,3,1,0.0,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
95,1,5,0,0,1,0,0,2650000.0,2,1,3.0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
498,1,49,0,0,1,0,0,3950000.0,4,1,3.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
90,1,31,0,1,0,1,0,2550000.0,2,1,1.0,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1,21,0,1,1,0,0,4250000.0,3,1,6.0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,1,1,0,0,1,0,0,3150000.0,1,1,2.0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100,1,26,1,0,0,0,0,2650000.0,2,1,4.0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
209,1,11,0,0,0,0,0,6750000.0,3,1,0.0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
115,1,35,1,1,1,0,0,3200000.0,3,1,3.0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
52,1,6,1,1,0,0,0,2100000.0,1,1,5.0,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
110,1,0,1,1,1,0,0,3150000.0,2,1,5.0,3,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1,15,1,1,0,0,1,6250000.0,2,1,-3.0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
130,2,1,0,1,1,1,0,2550000.0,2,1,0.5,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
110,1,30,0,0,0,0,0,4000000.0,3,0,0.0,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
150,1,25,1,1,1,0,0,3480000.0,3,1,8.0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
110,1,20,0,0,0,0,0,2600000.0,2,1,5.0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
90,1,35,0,1,0,0,0,3500000.0,2,1,2.0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
70,1,30,0,0,0,1,1,2650000.0,2,1,0.0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
150,1,31,0,0,0,0,0,2200000.0,3,1,5.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
115,1,3,0,1,1,0,0,3450000.0,2,1,3.0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
170,2,11,0,1,1,1,0,5750000.0,3,1,4.0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
110,1,50,0,0,0,0,0,2350000.0,3,1,3.0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
